"study","questionnaire","analysis_unit","period"
"soep-pretest","pre_2004_online","p",
"soep-pretest","pre_2005_youth","p",
"soep-pretest","pre_2005_1","p",
"soep-pretest","pre_2005_2","p",
"soep-pretest","pre_2006","p",
"soep-pretest","pre_2007_muki_a","p",
"soep-pretest","pre_2007_1","p",
"soep-pretest","pre_2007_2","p",
"soep-pretest","pre_2008","p",
"soep-pretest","pre_2008_muki_b","p",
"soep-pretest","pre_2008_muki_c","p",
"soep-pretest","pre_2009","p",
"soep-pretest","Amount","p",
"soep-pretest","pre_2010","p",
"soep-pretest","R","p",
"soep-pretest","Employed:","p",
"soep-pretest","pre_2011","p",
